,repo_name,link,id_oai,status_code,internal_error,messege
58,Repositorio Institucional CIATEC,https://ciatec.repositorioinstitucional.mx/oai/request,oai:ciatec.repositorioinstitucional.mx:1019/168,200,NaN,NaN
59,Repositorio Institucional CIATEC,https://ciatec.repositorioinstitucional.mx/oai/request,oai:ciatec.repositorioinstitucional.mx:1019/176,200,NaN,NaN
60,Repositorio IPICYT,https://ipicyt.repositorioinstitucional.mx/oai/request,oai:ipicyt.repositorioinstitucional.mx:1010/624,200,NaN,NaN
61,Repositorio IPICYT,https://ipicyt.repositorioinstitucional.mx/oai/request,oai:ipicyt.repositorioinstitucional.mx:1010/1142,200,NaN,NaN
62,Repositorio IPICYT,https://ipicyt.repositorioinstitucional.mx/oai/request,oai:ipicyt.repositorioinstitucional.mx:1010/1840,200,NaN,NaN
63,Repositorio IPICYT,https://ipicyt.repositorioinstitucional.mx/oai/request,oai:ipicyt.repositorioinstitucional.mx:1010/2316,200,NaN,NaN
64,Repositorio IPICYT,https://ipicyt.repositorioinstitucional.mx/oai/request,oai:ipicyt.repositorioinstitucional.mx:1010/888,200,NaN,NaN
65,Repositorio IPICYT,https://ipicyt.repositorioinstitucional.mx/oai/request,oai:ipicyt.repositorioinstitucional.mx:1010/1868,200,NaN,NaN
66,Repositorio IPICYT,https://ipicyt.repositorioinstitucional.mx/oai/request,oai:ipicyt.repositorioinstitucional.mx:1010/954,200,NaN,NaN
67,Repositorio IPICYT,https://ipicyt.repositorioinstitucional.mx/oai/request,oai:ipicyt.repositorioinstitucional.mx:1010/1551,200,NaN,NaN
68,Repositorio IPICYT,https://ipicyt.repositorioinstitucional.mx/oai/request,oai:ipicyt.repositorioinstitucional.mx:1010/752,200,NaN,NaN
69,Repositorio IPICYT,https://ipicyt.repositorioinstitucional.mx/oai/request,oai:ipicyt.repositorioinstitucional.mx:1010/1725,200,NaN,NaN
70,Repositorio COLSAN,https://colsan.repositorioinstitucional.mx/oai/request,oai:colsan.repositorioinstitucional.mx:1013/1681,200,NaN,NaN
71,Repositorio COLSAN,https://colsan.repositorioinstitucional.mx/oai/request,oai:colsan.repositorioinstitucional.mx:1013/1919,200,NaN,NaN
72,Repositorio COLSAN,https://colsan.repositorioinstitucional.mx/oai/request,oai:colsan.repositorioinstitucional.mx:1013/1578,200,NaN,NaN
73,Repositorio COLSAN,https://colsan.repositorioinstitucional.mx/oai/request,oai:colsan.repositorioinstitucional.mx:1013/908,200,NaN,NaN
74,Repositorio COLSAN,https://colsan.repositorioinstitucional.mx/oai/request,oai:colsan.repositorioinstitucional.mx:1013/1475,200,NaN,NaN
75,Repositorio COLSAN,https://colsan.repositorioinstitucional.mx/oai/request,oai:colsan.repositorioinstitucional.mx:1013/996,200,NaN,NaN
76,Repositorio COLSAN,https://colsan.repositorioinstitucional.mx/oai/request,oai:colsan.repositorioinstitucional.mx:1013/1720,200,NaN,NaN
77,Repositorio COLSAN,https://colsan.repositorioinstitucional.mx/oai/request,oai:colsan.repositorioinstitucional.mx:1013/318,200,NaN,NaN
